eopch number: 50; eval psnr: 32.98; eval ssim: 0.9929; runtime: 3.56 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 51; eval psnr: 32.99; eval ssim: 0.9929; runtime: 3.71 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 52; eval psnr: 33.03; eval ssim: 0.9929; runtime: 3.61 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 53; eval psnr: 33.03; eval ssim: 0.9929; runtime: 3.51 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 54; eval psnr: 33.03; eval ssim: 0.9929; runtime: 3.53 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 55; eval psnr: 33.03; eval ssim: 0.9929; runtime: 3.57 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 56; eval psnr: 33.05; eval ssim: 0.9929; runtime: 3.66 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 57; eval psnr: 33.05; eval ssim: 0.9929; runtime: 3.58 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 58; eval psnr: 33.06; eval ssim: 0.9930; runtime: 3.63 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 59; eval psnr: 33.06; eval ssim: 0.9930; runtime: 3.64 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 60; eval psnr: 33.04; eval ssim: 0.9929; runtime: 3.54 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 61; eval psnr: 33.05; eval ssim: 0.9930; runtime: 3.55 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 62; eval psnr: 33.06; eval ssim: 0.9930; runtime: 3.52 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 63; eval psnr: 33.08; eval ssim: 0.9930; runtime: 3.58 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 64; eval psnr: 33.04; eval ssim: 0.9930; runtime: 3.51 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 65; eval psnr: 33.09; eval ssim: 0.9930; runtime: 3.58 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 66; eval psnr: 33.05; eval ssim: 0.9930; runtime: 3.65 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 67; eval psnr: 33.08; eval ssim: 0.9930; runtime: 3.60 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 68; eval psnr: 33.08; eval ssim: 0.9930; runtime: 3.51 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 69; eval psnr: 33.04; eval ssim: 0.9930; runtime: 3.63 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 70; eval psnr: 33.07; eval ssim: 0.9930; runtime: 3.55 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 71; eval psnr: 33.09; eval ssim: 0.9931; runtime: 3.56 seconds; train loss: 0.00; val_loss: 0.00
eopch number: 72; eval psnr: 33.09; eval ssim: 0.9931; runtime: 3.58 seconds; train loss: 0.00; val_loss: 0.00
